tests  |   ✓  57 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 7 (3.9s)
tests  |   ✓  58 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 8 (3.9s)
tests  |   ✓  59 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 9 (4.1s)
tests  |   ✓  60 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 10 (4.0s)
tests  |   ✓  61 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 11 (3.6s)
tests  |   ✓  62 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 12 (3.4s)
tests  |   ✓  63 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 13 (3.7s)
tests  |   ✓  64 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 14 (3.8s)
tests  |   ✓  65 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 15 (3.6s)
tests  |   ✓  66 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 16 (3.8s)
tests  |   ✓  67 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 17 (7.0s)
tests  |   ✓  68 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 18 (6.0s)
tests  |   ✓  69 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 19 (5.6s)
tests  |   ✓  70 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 20 (6.4s)
tests  |   ✓  71 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 21 (6.2s)
tests  |   ✓  72 [chrome] › src/tests/projects-2/workflow-rule.spec.ts › Workflow rule › caso 1 (10.0s)
