tests  |   ✓   1 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 21 (4.8s)
tests  |   ✓   2 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 22 (4.4s)
tests  |   ✓   3 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 23 (3.6s)
tests  |   ✓   4 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 24 (3.3s)
tests  |   ✓   5 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 25 (3.6s)
tests  |   ✓   6 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 26 (4.4s)
tests  |   ✓   7 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 27 (4.4s)
tests  |   ✓   8 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 8 (4.0s)
tests  |   ✓   9 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 9 (4.4s)
tests  |   ✘  10 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 10 (1.7m)
tests  |   ✓  11 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 10 (4.6s)
tests  |   ✓  12 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 24 (5.1s)
tests  |   ✓  13 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 25 (8.1s)
tests  |   ✓  14 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 26 (7.7s)
tests  |   ✓  15 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 27 (6.2s)
tests  |   ✓  16 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 3 (10.2s)
tests  |   ✓  17 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 4 (9.5s)
tests  |   ✓  18 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 5 (6.7s)
tests  |   -  19 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 6
tests  |   ✓  20 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 7 (8.2s)
tests  |   ✓  21 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 8 (8.3s)
tests  |   ✓  22 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 9 (9.5s)
tests  |   ✓  23 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 16 (9.3s)
tests  |   ✓  24 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 17 (4.4s)
tests  |   ✓  25 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 18 (4.4s)
tests  |   ✓  26 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 19 (9.2s)
tests  |   ✓  27 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 20 (8.5s)
tests  |   ✓  28 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 21 (8.3s)
tests  |   ✓  29 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 22 (13.0s)
tests  |   ✓  30 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 23 (4.4s)
tests  |   ✘  31 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 24 (3.8s)
tests  |   ✓  32 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 24 (8.8s)
tests  |   -  33 [chrome] › src/tests/catalog/form-template.spec.ts › Form template › caso 1
tests  |   ✓  34 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 3 (4.8s)
tests  |   ✘  35 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 4 (1.7m)
tests  |   ✓  36 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 4 (4.7s)
tests  |   ✓  37 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 7 (5.1s)
tests  |   ✓  38 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 8 (6.2s)
tests  |   ✓  39 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 9 (5.3s)
tests  |   ✓  40 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 18 (5.4s)
tests  |   ✓  41 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 19 (5.0s)
tests  |   ✓  42 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 20 (3.8s)
tests  |   ✓  43 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 21 (3.7s)
tests  |   ✓  44 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 22 (3.6s)
tests  |   ✓  45 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 23 (4.3s)
tests  |   ✓  46 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 3 (17.2s)
tests  |   -  47 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 4
tests  |   ✓  48 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 5 (19.4s)
tests  |   ✓  49 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 6 (4.0s)
tests  |   ✓  50 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 19 (4.8s)
tests  |   ✓  51 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 20 (4.0s)
tests  |   ✓  52 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 21 (3.8s)
tests  |   ✓  53 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 22 (4.1s)
tests  |   ✓  54 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 23 (4.0s)
tests  |   ✓  55 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 24 (3.6s)
tests  |   ✓  56 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 2 (9.3s)
tests  |   ✓  57 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 3 (10.8s)
tests  |   ✓  58 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 4 (9.0s)
tests  |   ✓  59 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 5 (17.6s)
tests  |   ✓  60 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 6 (7.2s)
tests  |   ✓  61 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 7 (11.7s)
tests  |   ✓  62 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 22 (4.4s)
tests  |   ✓  63 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 23 (4.1s)
tests  |   ✓  64 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 24 (3.5s)
tests  |   ✓  65 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 25 (3.6s)
tests  |   ✓  66 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 26 (3.5s)
tests  |   ✓  67 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 27 (3.5s)
tests  |   ✓  68 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 28 (3.7s)
tests  |   ✓  69 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 29 (4.6s)
tests  |   ✓  70 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 30 (4.3s)
tests  |   ✓  71 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 5 (5.8s)
tests  |   ✓  72 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 6 (6.6s)
tests  |   ✓  73 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 7 (5.9s)
tests  |   ✓  74 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 8 (5.8s)
tests  |   ✓  75 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 9 (5.6s)
tests  |   ✓  76 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 10 (6.1s)
tests  |   -  77 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 5
tests  |   ✓  78 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 6 (12.6s)
tests  |   ✓  79 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 7 (5.5s)
tests  |   ✓  80 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 8 (6.1s)
tests  |   ✓  81 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 9 (6.0s)
