tests  |   ✓   1 [chrome] › src/tests/admin/analytics-settings.spec.ts › Analytics settings › caso 1 (3.9s)
tests  |   ✓  43 [chrome] › src/tests/admin/login.spec.ts › Login › caso 3 (2.6s)
tests  |   ✘  44 [chrome] › src/tests/admin/login.spec.ts › Login › caso 4 (1.7m)
tests  |   ✓  45 [chrome] › src/tests/admin/login.spec.ts › Login › caso 4 (2.7s)
tests  |   ✓  46 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 1 (4.2s)
tests  |   ✓  47 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 2 (4.1s)
tests  |   ✓  48 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 3 (4.2s)
tests  |   ✓  49 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 4 (4.2s)
tests  |   ✓  50 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 5 (5.0s)
tests  |   ✓  51 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 6 (4.8s)
tests  |   ✓  52 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 7 (4.8s)
tests  |   ✓  53 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 8 (4.8s)
tests  |   -  54 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 9
tests  |   -  55 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 10
tests  |   -  56 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 11
tests  |   -  57 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 12
tests  |   -  58 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 13
tests  |   -  59 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 14
tests  |   ✓  60 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 15 (5.4s)
tests  |   ✓  61 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 16 (5.3s)
tests  |   ✓  62 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 17 (5.4s)
tests  |   ✓  63 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 18 (5.4s)
tests  |   ✓  64 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 19 (5.2s)
tests  |   ✓  65 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 20 (5.3s)
tests  |   -  66 [chrome] › src/tests/admin/role.spec.ts › Role › caso 2
tests  |   ✓  67 [chrome] › src/tests/admin/role.spec.ts › Role › caso 3 (14.0s)
tests  |   ✓  68 [chrome] › src/tests/admin/role.spec.ts › Role › caso 4 (4.7s)
tests  |   ✓  69 [chrome] › src/tests/admin/support.spec.ts › Support › caso 1 (3.8s)
tests  |   ✓  70 [chrome] › src/tests/admin/user-interface.spec.ts › User interface › caso 1 (3.9s)
tests  |   ✓  71 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 6 (3.3s)
tests  |   ✓  72 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 7 (3.3s)
tests  |   ✓  73 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 8 (3.6s)
tests  |   ✓  74 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 9 (3.9s)
tests  |   -  75 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 10
tests  |   ✘  76 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (2.4s)
tests  |   ✓  77 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (4.9s)
tests  |   ✓  78 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 12 (3.8s)
tests  |   ✓  79 [chrome] › src/tests/admin/user.spec.ts › User › caso 8 (9.0s)
tests  |   ✓  80 [chrome] › src/tests/admin/user.spec.ts › User › caso 9 (9.1s)
tests  |   ✓  81 [chrome] › src/tests/admin/user.spec.ts › User › caso 10 (12.6s)
tests  |   ✓  82 [chrome] › src/tests/admin/user.spec.ts › User › caso 11 (4.9s)
tests  |   ✓  83 [chrome] › src/tests/admin/user.spec.ts › User › caso 12 (8.9s)
tests  |   ✓  84 [chrome] › src/tests/admin/user.spec.ts › User › caso 13 (1.2m)
tests  |   ✓  85 [chrome] › src/tests/admin/user.spec.ts › User › caso 14 (1.7m)
tests  |   ✘  86 [chrome] › src/tests/admin/user.spec.ts › User › caso 15 (1.7m)
tests  |   ✓  87 [chrome] › src/tests/admin/user.spec.ts › User › caso 15 (4.3s)
tests  |   ✓  88 [chrome] › src/tests/admin/user.spec.ts › User › caso 16 (5.2s)
tests  |   ✓  89 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 4 (31.9s)
tests  |   ✓  90 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 5 (28.2s)
tests  |   ✓  91 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 6 (4.7s)
