tests  |   -   1 [chrome] › src/tests/projects-1/configuration.spec.ts › Configuration › caso 1
tests  |   -   2 [chrome] › src/tests/projects-1/configuration.spec.ts › Configuration › caso 2
tests  |   -   3 [chrome] › src/tests/projects-1/configuration.spec.ts › Configuration › caso 3
tests  |   ✓   4 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 1 (17.0s)
tests  |   ✓   5 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 2 (13.2s)
tests  |   ✘   6 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 3 (1.7m)
tests  |   ✓   7 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 3 (22.1s)
tests  |   ✓   8 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 4 (22.4s)
tests  |   ✓   9 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 5 (18.6s)
tests  |   ✓  10 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 6 (51.4s)
tests  |   ✓  11 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 7 (18.3s)
tests  |   ✓  12 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 8 (32.1s)
tests  |   ✓  13 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 9 (18.4s)
tests  |   ✓  14 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 10 (22.5s)
tests  |   ✓  15 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 11 (22.7s)
tests  |   ✓  16 [chrome] › src/tests/projects-1/automations.spec.ts › Automations › caso 12 (24.5s)
tests  |   ✓  17 [chrome] › src/tests/projects-1/custom-views.spec.ts › Custom views › caso 1 (16.6s)
tests  |   -  18 [chrome] › src/tests/projects-1/custom-views.spec.ts › Custom views › caso 2
tests  |   ✓  19 [chrome] › src/tests/projects-1/custom-views.spec.ts › Custom views › caso 3 (17.4s)
tests  |   ✓  20 [chrome] › src/tests/projects-1/custom-views.spec.ts › Custom views › caso 4 (12.6s)
tests  |   ✓  21 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 1 (14.5s)
tests  |   ✓  22 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 2 (14.1s)
tests  |   ✓  23 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 3 (18.4s)
tests  |   ✓  24 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 4 (15.1s)
tests  |   ✓  25 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 5 (14.7s)
tests  |   ✓  26 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 6 (17.4s)
tests  |   -  27 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 7
tests  |   -  28 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 8
tests  |   -  29 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 9
tests  |   ✓  30 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 10 (17.7s)
tests  |   ✓  31 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 11 (17.1s)
tests  |   ✓  32 [chrome] › src/tests/projects-1/floating-modals.spec.ts › Floating modals › caso 12 (17.3s)
tests  |   ✓  33 [chrome] › src/tests/projects-1/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 1 (30.5s)
tests  |   ✓  34 [chrome] › src/tests/projects-1/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 2 (19.6s)
tests  |   ✓  35 [chrome] › src/tests/projects-1/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 3 (36.7s)
tests  |   ✓  36 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 1 (12.4s)
tests  |   ✓  37 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 2 (12.2s)
tests  |   ✓  38 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 3 (12.9s)
tests  |   ✓  39 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 4 (13.4s)
tests  |   ✓  40 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 5 (12.8s)
tests  |   ✓  41 [chrome] › src/tests/projects-1/findings.spec.ts › Findings › caso 6 (13.1s)
