tests  |   ✓   1 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 1 (32.3s)
tests  |   ✓   2 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 2 (15.2s)
tests  |   ✓   3 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 3 (11.9s)
tests  |   ✓   4 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 4 (11.5s)
tests  |   ✓   5 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 5 (16.6s)
tests  |   ✓   6 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 6 (20.1s)
tests  |   -   7 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 7
tests  |   ✓   8 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 8 (12.6s)
tests  |   ✓   9 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 9 (16.6s)
tests  |   ✓  10 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 10 (10.9s)
tests  |   ✓  11 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 11 (11.6s)
tests  |   ✓  12 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 1 (4.7s)
tests  |   ✓  13 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 2 (22.3s)
tests  |   ✓  14 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 3 (1.1m)
tests  |   ✓  15 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 4 (6.3s)
tests  |   ✓  16 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 5 (20.8s)
tests  |   -  17 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 1
tests  |   ✓  18 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 2 (34.6s)
tests  |   ✓  19 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 3 (36.3s)
tests  |   ✓  20 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 1 (17.1s)
tests  |   ✓  21 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 2 (17.1s)
tests  |   ✓  22 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 3 (29.7s)
tests  |   ✓  23 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 4 (18.9s)
tests  |   ✓  24 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 5 (29.1s)
tests  |   -  25 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 6
