tests  |   ✓   1 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 1 (31.6s)
tests  |   ✓   2 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 2 (9.8s)
tests  |   ✓   3 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 3 (11.9s)
tests  |   ✓   4 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 4 (11.7s)
tests  |   ✓   5 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 5 (12.5s)
tests  |   ✓   6 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 6 (21.1s)
tests  |   -   7 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 7
tests  |   ✓   8 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 8 (14.5s)
tests  |   ✓   9 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 9 (16.9s)
tests  |   ✓  10 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 10 (10.7s)
tests  |   ✓  11 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 11 (12.1s)
tests  |   ✓  12 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 1 (4.8s)
tests  |   ✓  13 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 2 (22.2s)
tests  |   ✓  14 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 3 (1.0m)
tests  |   ✓  15 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 4 (6.4s)
tests  |   ✓  16 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 5 (21.0s)
tests  |   -  17 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 1
tests  |   ✓  18 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 2 (34.6s)
tests  |   ✓  19 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 3 (37.6s)
tests  |   ✓  20 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 1 (20.5s)
tests  |   ✓  21 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 2 (19.2s)
tests  |   ✓  22 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 3 (33.4s)
tests  |   ✓  23 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 4 (18.5s)
tests  |   ✓  24 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 5 (28.0s)
tests  |   -  25 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 6
