tests  |   ✓   1 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 1 (6.4s)
tests  |   ✘  22 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2 (1.7m)
tests  |   -  23 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2
tests  |   ✘  24 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 3 (1.7m)
tests  |   -  25 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 3
tests  |   ✘  26 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 4 (1.7m)
tests  |   -  27 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 4
tests  |   ✓  28 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 1 (4.8s)
tests  |   ✓  29 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 2 (4.5s)
tests  |   ✓  30 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 3 (5.0s)
tests  |   ✓  31 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 4 (4.3s)
tests  |   ✓  32 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 5 (3.6s)
tests  |   ✓  33 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 6 (4.0s)
tests  |   ✓  34 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 7 (3.9s)
tests  |   ✓  35 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 8 (4.5s)
tests  |   ✓  36 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 9 (3.5s)
tests  |   ✓  37 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 10 (3.1s)
tests  |   ✓  38 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 11 (4.4s)
tests  |   ✓  39 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 12 (3.6s)
tests  |   ✓  40 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 13 (4.4s)
tests  |   -  41 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 14
tests  |   ✓  42 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 15 (3.7s)
tests  |   ✓  43 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 16 (4.0s)
tests  |   ✓  44 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 17 (7.3s)
tests  |   ✓  45 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 18 (7.1s)
tests  |   ✓  46 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 19 (7.0s)
tests  |   ✓  47 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 20 (6.4s)
tests  |   ✓  48 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 21 (3.2s)
tests  |   ✓  49 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 22 (3.7s)
tests  |   ✓  50 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 23 (3.7s)
tests  |   ✓  51 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 24 (3.7s)
tests  |   ✓  52 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 25 (6.7s)
tests  |   ✓  53 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 26 (5.0s)
tests  |   ✓  54 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 1 (15.1s)
tests  |   ✓  55 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 2 (8.6s)
tests  |   -  56 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 3
tests  |   ✓  57 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 4 (5.4s)
tests  |   ✓  58 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 5 (10.9s)
tests  |   ✓  59 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 6 (21.1s)
tests  |   -  60 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 7
tests  |   ✓  61 [chrome] › src/tests/admin/login.spec.ts › Login › caso 1 (2.8s)
tests  |   ✓  62 [chrome] › src/tests/admin/login.spec.ts › Login › caso 2 (2.5s)
tests  |   ✓  63 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 1 (28.7s)
tests  |   ✓  64 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 2 (27.6s)
tests  |   -  65 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 3
tests  |   ✓  66 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 4 (30.7s)
tests  |   ✓  67 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 5 (22.3s)
tests  |   ✓  68 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 6 (21.5s)
tests  |   ✓  69 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 7 (27.8s)
tests  |   ✓  70 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 8 (27.8s)
tests  |   ✓  71 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 9 (28.5s)
tests  |   ✓  72 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 10 (29.1s)
tests  |   ✓  73 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 11 (29.4s)
tests  |   ✓  74 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 12 (23.7s)
tests  |   ✓  75 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 13 (23.6s)
tests  |   ✓  76 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 14 (16.4s)
tests  |   ✓  77 [chrome] › src/tests/admin/role.spec.ts › Role › caso 1 (5.9s)
tests  |   ✓  78 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 1 (3.5s)
tests  |   ✓  79 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 2 (6.3s)
tests  |   -  80 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 3
tests  |   ✓  81 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 4 (5.1s)
tests  |   ✘  82 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (1.7m)
tests  |   ✓  83 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (4.1s)
tests  |   ✓  84 [chrome] › src/tests/admin/user.spec.ts › User › caso 1 (3.6s)
tests  |   ✓  85 [chrome] › src/tests/admin/user.spec.ts › User › caso 2 (3.5s)
tests  |   ✓  86 [chrome] › src/tests/admin/user.spec.ts › User › caso 3 (4.0s)
tests  |   -  87 [chrome] › src/tests/admin/user.spec.ts › User › caso 4
tests  |   ✓  88 [chrome] › src/tests/admin/user.spec.ts › User › caso 5 (8.4s)
tests  |   -  89 [chrome] › src/tests/admin/user.spec.ts › User › caso 6
tests  |   ✘  90 [chrome] › src/tests/admin/user.spec.ts › User › caso 7 (1.7m)
tests  |   ✓  91 [chrome] › src/tests/admin/user.spec.ts › User › caso 7 (11.6s)
tests  |   ✓  92 [chrome] › src/tests/admin/workflow-state-change.spec.ts › Workflow state change › caso 1 (20.3s)
tests  |   ✓  93 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 1 (48.0s)
tests  |   ✓  94 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 2 (41.9s)
tests  |   -  95 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 3
