tests  |   -  59 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 13
tests  |   -  60 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 14
tests  |   ✓  61 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 15 (5.4s)
tests  |   ✓  62 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 16 (5.5s)
tests  |   ✓  63 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 17 (5.4s)
tests  |   ✓  64 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 18 (5.5s)
tests  |   ✓  65 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 19 (5.4s)
tests  |   ✓  66 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 20 (5.4s)
tests  |   -  67 [chrome] › src/tests/admin/role.spec.ts › Role › caso 2
tests  |   ✓  68 [chrome] › src/tests/admin/role.spec.ts › Role › caso 3 (14.1s)
tests  |   ✓  69 [chrome] › src/tests/admin/role.spec.ts › Role › caso 4 (4.8s)
tests  |   ✓  70 [chrome] › src/tests/admin/support.spec.ts › Support › caso 1 (4.0s)
tests  |   ✓  71 [chrome] › src/tests/admin/user-interface.spec.ts › User interface › caso 1 (3.9s)
tests  |   ✓  72 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 6 (3.2s)
tests  |   ✓  73 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 7 (3.3s)
tests  |   ✓  74 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 8 (3.7s)
tests  |   ✓  75 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 9 (4.1s)
tests  |   -  76 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 10
tests  |   ✘  77 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (2.4s)
tests  |   ✓  78 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (5.4s)
tests  |   ✓  79 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 12 (3.8s)
tests  |   ✓  80 [chrome] › src/tests/admin/user.spec.ts › User › caso 8 (8.7s)
tests  |   ✓  81 [chrome] › src/tests/admin/user.spec.ts › User › caso 9 (8.6s)
tests  |   ✓  82 [chrome] › src/tests/admin/user.spec.ts › User › caso 10 (12.9s)
tests  |   ✓  83 [chrome] › src/tests/admin/user.spec.ts › User › caso 11 (4.7s)
tests  |   ✓  84 [chrome] › src/tests/admin/user.spec.ts › User › caso 12 (8.8s)
tests  |   ✓  85 [chrome] › src/tests/admin/user.spec.ts › User › caso 13 (1.2m)
tests  |   ✘  86 [chrome] › src/tests/admin/user.spec.ts › User › caso 14 (1.7m)
tests  |   ✓  87 [chrome] › src/tests/admin/user.spec.ts › User › caso 14 (3.9s)
tests  |   ✓  88 [chrome] › src/tests/admin/user.spec.ts › User › caso 15 (4.3s)
tests  |   ✓  89 [chrome] › src/tests/admin/user.spec.ts › User › caso 16 (5.2s)
tests  |   ✓  90 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 4 (31.9s)
tests  |   ✓  91 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 5 (28.5s)
tests  |   ✓  92 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 6 (4.7s)
