tests  |   ✓   67 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 15 (10.3s)
tests  |   ✓   68 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 1 (4.3s)
tests  |   ✘   69 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 2 (1.7m)
tests  |   ✓   70 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 2 (4.7s)
tests  |   ✓   71 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 1 (3.4s)
tests  |   ✘   72 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 2 (1.7m)
tests  |   ✓   73 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 2 (4.7s)
tests  |   ✓   74 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 3 (7.1s)
tests  |   ✓   75 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 4 (8.2s)
tests  |   ✓   76 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 5 (11.1s)
tests  |   ✓   77 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 6 (7.4s)
tests  |   ✓   78 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 1 (5.3s)
tests  |   ✓   79 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 2 (5.0s)
tests  |   ✓   80 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 3 (5.1s)
tests  |   ✓   81 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 4 (4.0s)
tests  |   ✓   82 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 5 (4.0s)
tests  |   ✓   83 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 6 (3.9s)
tests  |   ✓   84 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 7 (4.1s)
tests  |   ✓   85 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 8 (3.7s)
tests  |   ✓   86 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 9 (3.7s)
tests  |   ✓   87 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 10 (3.8s)
tests  |   ✓   88 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 11 (3.3s)
tests  |   ✓   89 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 12 (6.8s)
tests  |   ✓   90 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 13 (6.0s)
tests  |   ✓   91 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 14 (6.7s)
tests  |   ✓   92 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 15 (5.6s)
tests  |   ✓   93 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 16 (4.6s)
tests  |   ✓   94 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 17 (4.6s)
tests  |   ✓   95 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 1 (5.0s)
tests  |   -   96 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 2
tests  |   ✓   97 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 1 (5.0s)
tests  |   ✓   98 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 2 (6.7s)
tests  |   ✓   99 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 3 (4.1s)
tests  |   ✓  100 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 4 (4.1s)
tests  |   -  101 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 5
tests  |   ✓  102 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 6 (4.2s)
tests  |   ✓  103 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 7 (3.8s)
tests  |   ✓  104 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 8 (3.3s)
tests  |   ✓  105 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 9 (3.3s)
tests  |   ✓  106 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 10 (3.7s)
tests  |   ✓  107 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 11 (3.8s)
tests  |   ✓  108 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 12 (3.2s)
tests  |   ✓  109 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 13 (6.1s)
tests  |   ✓  110 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 14 (6.9s)
tests  |   ✓  111 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 15 (5.1s)
tests  |   ✓  112 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 16 (4.4s)
tests  |   ✓  113 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 17 (4.6s)
tests  |   ✓  114 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 18 (3.7s)
tests  |   ✓  115 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 1 (13.9s)
tests  |   -  116 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 1
tests  |   ✓  117 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 2 (32.7s)
tests  |   ✓  118 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 3 (5.0s)
tests  |   ✓  119 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 4 (3.4s)
tests  |   ✓  120 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 5 (3.7s)
tests  |   ✓  121 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 6 (3.8s)
tests  |   ✓  122 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 7 (4.4s)
tests  |   ✓  123 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 8 (3.9s)
tests  |   ✓  124 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 9 (3.9s)
tests  |   ✓  125 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 10 (4.0s)
tests  |   ✓  126 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 11 (3.4s)
tests  |   ✓  127 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 12 (3.4s)
tests  |   ✓  128 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 13 (3.7s)
tests  |   ✓  129 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 14 (3.9s)
tests  |   ✓  130 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 15 (3.8s)
tests  |   ✓  131 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 16 (3.4s)
tests  |   ✓  132 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 17 (6.9s)
tests  |   ✓  133 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 18 (5.7s)
tests  |   ✓  134 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 19 (5.9s)
tests  |   ✓  135 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 20 (5.9s)
tests  |   ✓  136 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 21 (5.7s)
tests  |   ✓  137 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 1 (3.6s)
tests  |   ✘  138 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 2 (1.7m)
tests  |   ✓  139 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 2 (5.8s)
tests  |   ✓  140 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 3 (5.9s)
tests  |   ✓  141 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 4 (6.4s)
tests  |   ✓  142 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 1 (3.7s)
tests  |   ✘  143 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 2 (1.7m)
tests  |   ✓  144 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 2 (8.1s)
tests  |   ✓  145 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 3 (6.9s)
tests  |   ✓  146 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 4 (11.3s)
