tests  |   ✓   1 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 1 (6.9s)
tests  |   ✓   2 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 2 (13.1s)
tests  |   ✓   3 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 1 (11.5s)
tests  |   ✓   4 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 2 (11.7s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 3 (10.5s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 4 (17.0s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 5 (17.4s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 6 (16.9s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 7 (15.0s)
tests  |   ✓  10 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 8 (22.9s)
tests  |   ✓  11 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 9 (11.6s)
tests  |   ✓  12 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 10 (15.7s)
tests  |   ✓  13 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 11 (17.8s)
tests  |   ✓  14 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 12 (17.6s)
tests  |   ✓  15 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 1 (9.7s)
tests  |   ✓  16 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 2 (14.3s)
tests  |   ✓  17 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 3 (4.5s)
tests  |   ✘  18 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (1.7m)
tests  |   ✓  19 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (9.5s)
tests  |   ✓  20 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 5 (3.1s)
tests  |   -  21 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 1
tests  |   ✘  22 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2 (1.7m)
tests  |   -  23 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2
tests  |   ✘  24 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 3 (1.7m)
