tests  |   ✓   1 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 1 (6.5s)
tests  |   ✓   2 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 2 (13.1s)
tests  |   ✓   3 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 1 (11.2s)
tests  |   ✓   4 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 2 (11.2s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 3 (10.3s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 4 (17.0s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 5 (17.6s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 6 (16.9s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 7 (14.7s)
tests  |   ✓  10 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 8 (22.4s)
tests  |   ✓  11 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 9 (11.2s)
tests  |   ✓  12 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 10 (15.5s)
tests  |   ✓  13 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 11 (17.7s)
tests  |   ✓  14 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 12 (17.6s)
tests  |   ✓  15 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 1 (9.7s)
tests  |   ✓  16 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 2 (14.3s)
tests  |   ✓  17 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 3 (4.5s)
tests  |   ✘  18 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (1.7m)
tests  |   ✓  19 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (9.6s)
tests  |   ✓  20 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 5 (3.3s)
tests  |   -  21 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 1
tests  |   ✘  22 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2 (1.7m)
