tests  |   ✓  63 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 25 (3.4s)
tests  |   ✓  64 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 26 (3.4s)
tests  |   ✓  65 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 27 (3.4s)
tests  |   ✓  66 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 28 (3.3s)
tests  |   ✓  67 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 29 (4.3s)
tests  |   ✓  68 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 30 (4.2s)
tests  |   ✓  69 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 5 (6.0s)
tests  |   ✓  70 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 6 (6.6s)
tests  |   ✓  71 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 7 (5.4s)
tests  |   ✓  72 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 8 (5.3s)
tests  |   ✓  73 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 9 (6.0s)
tests  |   ✓  74 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 10 (6.0s)
tests  |   -  75 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 5
tests  |   ✓  76 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 6 (12.9s)
tests  |   ✓  77 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 7 (5.8s)
tests  |   ✓  78 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 8 (6.1s)
tests  |   ✓  79 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 9 (6.0s)
