tests  |   ✓   1 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 21 (4.5s)
tests  |   ✓   2 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 22 (3.9s)
tests  |   ✓   3 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 23 (3.4s)
tests  |   ✓   4 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 24 (3.4s)
tests  |   ✓   5 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 25 (3.3s)
tests  |   ✓   6 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 26 (4.1s)
tests  |   ✓   7 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 27 (4.2s)
tests  |   ✓   8 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 8 (3.9s)
tests  |   ✓   9 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 9 (4.1s)
tests  |   ✓  10 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 10 (4.7s)
tests  |   ✓  11 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 24 (4.9s)
tests  |   ✓  12 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 25 (8.3s)
tests  |   ✓  13 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 26 (7.6s)
tests  |   ✓  14 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 27 (6.2s)
tests  |   ✓  15 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 3 (10.3s)
tests  |   ✓  16 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 4 (9.5s)
tests  |   ✓  17 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 5 (6.7s)
tests  |   -  18 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 6
tests  |   ✓  19 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 7 (7.9s)
tests  |   ✓  20 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 8 (8.0s)
tests  |   ✓  21 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 9 (9.5s)
tests  |   ✓  22 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 16 (9.5s)
tests  |   ✓  23 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 17 (4.4s)
tests  |   ✓  24 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 18 (4.1s)
tests  |   ✓  25 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 19 (8.2s)
tests  |   ✓  26 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 20 (7.7s)
tests  |   ✓  27 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 21 (8.3s)
tests  |   ✓  28 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 22 (12.7s)
tests  |   ✓  29 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 23 (4.3s)
tests  |   ✓  30 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 24 (8.3s)
tests  |   -  31 [chrome] › src/tests/catalog/form-template.spec.ts › Form template › caso 1
tests  |   ✓  32 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 3 (4.5s)
tests  |   ✘  33 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 4 (1.7m)
tests  |   ✓  34 [chrome] › src/tests/catalog/score-calculations.spec.ts › Score calculations › caso 4 (4.6s)
tests  |   ✓  35 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 7 (5.7s)
tests  |   ✓  36 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 8 (6.3s)
tests  |   ✓  37 [chrome] › src/tests/catalog/tag-patterns.spec.ts › Tag patterns › caso 9 (5.1s)
tests  |   ✓  38 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 18 (4.9s)
tests  |   ✓  39 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 19 (4.7s)
tests  |   ✓  40 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 20 (3.4s)
tests  |   ✓  41 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 21 (3.5s)
tests  |   ✓  42 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 22 (3.6s)
tests  |   ✓  43 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 23 (4.2s)
tests  |   ✓  44 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 3 (17.3s)
tests  |   -  45 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 4
tests  |   ✓  46 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 5 (19.6s)
tests  |   ✓  47 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 6 (3.9s)
tests  |   ✓  48 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 19 (4.8s)
tests  |   ✓  49 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 20 (4.0s)
tests  |   ✓  50 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 21 (4.1s)
tests  |   ✓  51 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 22 (3.7s)
